model_feature_order,gene_symbol,max_abs_scale,elastic_net_coefficient,centroid_B_CONV,centroid_B_ASC
375,BIRC3,4.2514076,0.70741624,0.8659684,0.24109109
376,TMEM123,3.6476192,-0.16962571,0.4789737,0.4740393
377,CWF19L2,3.6385603,0.2214257,0.29065692,0.19886693
378,ZBTB16,2.9909003,0.33379242,0.06033159,0.011737819
379,CXCR5,2.9909003,-2.2432272,0.100652635,0.0071752314
380,SC5D,2.959148,-0.6770624,0.05148503,0.027486121
381,SORL1,3.003556,-0.4041419,0.07522738,0.064941384
382,NRGN,3.3427749,-0.8309935,0.06628391,0.082846865
383,ARHGAP32,2.5002618,-0.11850769,0.007635518,0.003973182
384,APLP2,3.5640335,1.4616996,0.309594,0.18678647
385,RAD51AP1,2.8923573,-0.31660995,0.020544372,0.056053776
386,CD9,3.3690355,1.3217858,0.07014735,0.10812258
387,CD27,3.9228804,3.0309517,0.116493754,1.5202774
388,GAPDH,4.4007497,3.1634212,0.97453576,2.445074
389,ACRBP,2.7376652,-0.64995545,0.026156217,0.032639723
390,C12ORF57,3.5990062,2.4540763,0.458065,0.6917565
391,SLC2A3,3.547512,-5.076346,0.29133952,0.14508101
392,CLEC2D,3.4704947,-1.845661,0.28562996,0.41448984
393,CD69,5.1297398,-0.9536897,1.2459341,0.43316215
394,CLEC2B,4.0462003,-0.26295465,0.3817396,0.42378905
395,YBX3,4.0030227,-1.7176927,0.39586723,0.20190999
396,ATF7IP,3.199873,-0.8988466,0.26938897,0.18102005
397,PPFIBP1,2.784861,0.3615624,0.021745333,0.0032712312
398,AMN1,3.0964515,0.6634887,0.059510466,0.032093957
399,YAF2,3.4750333,0.05915298,0.09586257,0.18845135
400,FKBP11,3.8546212,8.858953,0.08031834,1.908998
401,TUBA1A,4.1001143,-1.1767718,0.62802064,0.24332091
402,BCDIN3D,2.6700616,0.122673266,0.014397305,0.012664932
403,GALNT6,2.7841485,0.32774603,0.011450956,0.025109502
404,SLC16A7,3.0784817,-1.3396742,0.04351022,0.037283927
405,CPM,2.9522412,0.47718716,0.015384411,0.0042451886
406,CEP290,3.322802,-0.8164582,0.088452004,0.07195058
407,DUSP6,2.9470954,-0.11388873,0.04237348,0.03597909
408,BTG1,4.9431496,-1.8034941,2.7302718,1.3840569
409,C12ORF42,3.2273626,-0.31108397,0.064353846,0.022152932
410,HSP90B1,6.3268213,2.7361796,0.38765854,3.0108256
