replicate,resolution,reference_cluster,reference_cells,mapped_cells,jaccard,recall
5,0.6,2,32976,580,0.014266715028412525,0.014313440077632217
5,0.6,3,3285,3645,0.6727009413468501,0.8484018264840183
5,0.6,4,1079,1115,0.7496012759170654,0.871177015755329
5,0.6,5,1037,1065,0.9663236669784846,0.996142719382835
5,0.8,0,41520,41648,0.8198288877705083,0.9023843930635839
5,0.8,1,32211,30941,0.7666871817825771,0.8508273571140293
5,0.8,2,22859,14695,0.4911848792884371,0.5411435320880178
5,0.8,3,17704,26809,0.6003811030416337,0.9432331676457297
5,0.8,4,3761,3964,0.6702702702702703,0.8242488699813879
5,0.8,5,1218,1195,0.7536337209302325,0.8513957307060755
5,0.8,6,1047,1068,0.9656133828996283,0.9923591212989494
6,0.4,0,76630,75673,0.9534290148396116,0.9700639436252121
6,0.4,1,40149,40063,0.9282194283516431,0.9617425091534035
6,0.4,2,1517,2586,0.5594830862789814,0.970336189848385
6,0.4,3,1042,1042,0.9904489016236867,0.9952015355086372
6,0.4,4,982,956,0.8510028653295129,0.9073319755600815
6,0.6,0,43120,71731,0.5428045618795588,0.9371057513914657
6,0.6,1,38877,41752,0.8984483529938075,0.9815057746225274
6,0.6,2,32853,751,0.02186407176524251,0.02188536815511521
6,0.6,3,3348,3888,0.7025882352941176,0.8918757467144564
6,0.6,4,1074,1153,0.7930756843800322,0.9171322160148976
6,0.6,5,1048,1045,0.9933333333333333,0.9952290076335878
6,0.8,0,41563,45084,0.7102956851288934,0.8657940957101268
6,0.8,1,32096,34018,0.7395674367205178,0.8757477567298105
6,0.8,2,22849,21662,0.791259205601835,0.8605190599150947
6,0.8,3,17724,18506,0.836662273142046,0.9311667795080117
6,0.8,4,3827,0,0.0,0.0
6,0.8,5,1205,0,0.0,0.0
6,0.8,6,1056,1050,0.9830508474576272,0.9886363636363636
7,0.4,0,76610,78755,0.9442254508140306,0.9849105860853674
7,0.4,1,40166,39670,0.9265444015444015,0.9559328785540009
7,0.4,2,1505,0,0.0,0.0
7,0.4,3,1034,1037,0.9913461538461539,0.9970986460348162
7,0.4,4,1005,858,0.7692307692307693,0.8059701492537313
7,0.6,0,43184,34014,0.5632821675914301,0.6441274546128196
7,0.6,1,38970,38585,0.918491032776747,0.9527841929689504
7,0.6,2,32729,45607,0.6140770197597512,0.9105991628219622
7,0.6,3,3295,0,0.0,0.0
7,0.6,4,1101,1052,0.7926727726894255,0.8646684831970936
7,0.6,5,1041,1062,0.9765037593984962,0.9980787704130644
7,0.8,0,41668,44738,0.804335115268961,0.924402419122588
7,0.8,1,31939,28604,0.759152719665272,0.8180281160963085
7,0.8,2,22963,25151,0.7750968456004427,0.9149065888603406
7,0.8,3,17660,15025,0.7657068769920587,0.8026047565118912
7,0.8,4,3791,4488,0.644616607071911,0.8559746768662622
7,0.8,5,1247,1257,0.7535014005602241,0.8628708901363272
7,0.8,6,1052,1057,0.9802816901408451,0.9923954372623575
8,0.4,0,76609,99292,0.748501505949245,0.982913234737433
8,0.4,1,40170,15862,0.3885116717054071,0.39029126213592236
8,0.4,2,1500,3165,0.45417705735660846,0.9713333333333334
8,0.4,3,1052,1060,0.9905749293119699,0.9990494296577946
8,0.4,4,989,941,0.7853839037927844,0.8584428715874621
8,0.6,0,43170,45463,0.7270654715510522,0.8643270789900394
8,0.6,1,38978,39199,0.8931806073521577,0.9462517317461132
8,0.6,2,32702,34592,0.7520828993959592,0.8833098893034065
8,0.6,3,3333,0,0.0,0.0
8,0.6,4,1083,0,0.0,0.0
8,0.6,5,1054,1066,0.9850187265917603,0.9981024667931688
8,0.8,0,41601,38423,0.7341105597330271,0.8143313862647532
8,0.8,1,31967,36060,0.7076336069483143,0.8818469046203897
8,0.8,2,22884,19507,0.7466419447878039,0.7918633106100332
8,0.8,3,17760,19960,0.7749752952802221,0.9273085585585585
8,0.8,4,3823,4188,0.6572196938353331,0.8310227569971227
8,0.8,5,1224,1114,0.7592174567343868,0.8243464052287581
8,0.8,6,1061,1068,0.9841565703634669,0.9952874646559849
9,0.4,0,76667,55604,0.7063702977449817,0.7141925469889261
9,0.4,1,40153,59558,0.6344190010982347,0.9639130326501133
9,0.4,2,1476,3114,0.45529486366518707,0.9728997289972899
9,0.4,3,1029,1036,0.9855769230769231,0.9961127308066083
9,0.4,4,995,1008,0.7996406109613656,0.8944723618090452
9,0.6,0,43066,39355,0.6999278127255852,0.7879998142386105
